,smiles,A,B,C,mu,alpha,homo,lumo,r2,zpve,u0,cv,u0_atom
1167,CC(C)(CO)C#N,3.9473,1.8662,1.76828,3.7159,60.69,-0.288,0.0337,795.2124,0.134838,-325.794624,30.144,-1512.213231303
1168,CC(N)(CN)C#N,4.00867,1.86804,1.75871,4.8411,60.78,-0.25,0.0323,796.8074,0.136974,-321.958604,30.27,-1454.237047284
1169,CC(N)(CO)C#N,4.10478,1.87853,1.77854,2.6311,57.56,-0.2773,0.0215,771.8633,0.124743,-341.843027,28.898,-1393.982378086
1170,CC(O)(CN)C#N,4.15926,1.89126,1.76673,5.7183,57.27,-0.271,0.0247,777.5164,0.124491,-341.841438,28.987,-1392.985266285
1171,CC(O)(CO)C#C,4.2202,1.86552,1.76295,2.0516,58.82,-0.2598,0.0281,780.1821,0.121833,-345.61476,30.608,-1411.617891022
1172,CC(O)(CO)C#N,4.17631,1.89972,1.77896,4.8329,53.77,-0.2852,0.0128,757.2099,0.111582,-361.71821,28.405,-1327.929525728
1173,CCC(C)(C)C#C,3.78827,1.79974,1.69061,0.6494,72.99,-0.2571,0.0621,877.146,0.168729,-273.761967,33.384,-1776.658074083
1174,CCC(C)(C)C#N,3.79027,1.82065,1.7122,4.0456,67.68,-0.3113,0.0438,852.1125,0.158537,-289.87152,31.282,-1696.799396216
1175,CCC(C)(N)C#N,3.87909,1.85138,1.72368,4.6215,64.23,-0.2604,0.0314,828.7651,0.147352,-305.913756,30.976,-1574.698694996
1176,CCC(C)(O)C#C,4.01944,1.84116,1.71261,1.1577,65.99,-0.2629,0.0382,834.2194,0.144853,-309.689486,32.264,-1594.842361405
1177,CCC(C)(O)C#N,4.02273,1.86096,1.73085,3.3517,60.86,-0.2984,0.0188,810.387,0.134607,-325.79684,30.161,-1513.603791247
1178,CC(C)(C#N)NC,3.86656,1.89126,1.77921,4.2439,64.49,-0.2392,0.0352,817.5813,0.14703,-305.90476,30.736,-1569.053624032
1179,CC(C)(C#C)OC,3.92442,1.92056,1.8126,1.4882,66.27,-0.2509,0.0464,814.529,0.14436,-309.673807,31.893,-1585.003647794
1180,CC(C)(C#N)OC,3.92107,1.945,1.83615,4.7434,61.07,-0.2748,0.0267,790.4069,0.134047,-325.781398,29.887,-1503.9137972691
1181,CC(C)(CO)C=O,3.37325,2.03221,1.77186,2.6858,60.3,-0.2481,-0.0231,803.6117,0.145152,-346.86454,30.941,-1568.014469128
1182,CC(O)(CO)C=O,3.92303,1.94016,1.81986,3.0185,53.44,-0.2529,-0.0296,761.0814,0.121563,-382.793238,29.559,-1386.938589561
1183,CCC(C)(C)C=O,3.88855,1.74816,1.69232,2.64,67.66,-0.2455,-0.0172,871.5557,0.16854,-310.941861,32.199,-1752.8673253661
1184,CCC(C)(O)C=O,3.74016,1.89062,1.75707,2.8744,60.49,-0.2497,-0.0237,819.1713,0.144499,-346.869041,31.318,-1570.838887137
1185,CC(C)(C=O)OC,4.31227,1.81143,1.78469,2.7111,60.58,-0.2517,-0.0256,811.414,0.144209,-346.857623,30.81,-1563.673989375
1186,CC(C)(CO)CO,4.34167,1.6366,1.63065,2.6199,63.41,-0.2604,0.0669,871.3942,0.168887,-348.048844,33.492,-1683.32426795
1187,CC(CO)(CO)O,4.62576,1.69979,1.66693,3.2052,56.14,-0.2573,0.0541,822.4301,0.146175,-383.983835,31.604,-1506.1973025201
1188,CCC(C)(C)CC,4.08658,1.55195,1.53869,0.0668,77.42,-0.2984,0.0746,992.1533,0.216091,-276.202384,35.857,-2052.338465508
1189,CCC(C)(C)CO,4.21306,1.59526,1.58608,1.3701,70.35,-0.2634,0.071,930.2807,0.19263,-312.126404,34.624,-1868.327098839
1190,CCC(C)(C)OC,3.19752,2.02748,1.75763,1.0638,70.74,-0.2456,0.0788,886.066,0.191831,-312.122563,34.466,-1865.9168367701
1191,CCC(C)(CC)O,4.35126,1.60871,1.57457,1.3308,70.47,-0.26,0.064,941.358,0.192392,-312.134532,34.75,-1873.427491991
1192,CCC(C)(O)CO,4.51654,1.65703,1.62312,2.265,63.37,-0.2538,0.0618,880.3669,0.169345,-348.059242,33.189,-1689.849106532
1193,CC(C)(CO)OC,4.28212,1.71415,1.70186,0.3321,63.67,-0.2468,0.071,861.9668,0.168315,-348.044714,33.275,-1680.73265578
1194,CC#CCC(=O)C,8.48546,1.13674,1.02138,2.3414,66.31,-0.2392,-0.011,1140.7997,0.121157,-308.518356,29.102,-1487.799366149
1195,CC#CCC(=O)N,8.34619,1.1606,1.04324,3.2208,62.34,-0.2392,0.0298,1094.28,0.111076,-324.588239,28.741,-1383.047406252
1196,CC#CCC(C)C,6.61698,1.09791,0.99391,0.1818,76.36,-0.2402,0.0614,1231.6811,0.169126,-273.77551,32.46,-1785.15642847
1197,CC#CCC(C)O,6.86594,1.10196,0.99777,1.5386,68.81,-0.2431,0.0613,1179.2053,0.145607,-309.700675,31.243,-1601.863559606
1198,CC(=O)C#CC#C,10.17342,1.10755,1.00502,3.0502,71.03,-0.2627,-0.079,1072.1874,0.075267,-306.080007,25.723,-1213.416663336
1199,CC(=O)C#CC#N,10.15779,1.10653,1.00403,3.6118,62.85,-0.2917,-0.1061,1047.2237,0.064928,-322.175807,23.6,-1124.9278541921
1200,C#CC#CC(=O)N,11.40753,1.11134,1.01268,3.7399,66.57,-0.2572,-0.0595,1040.5382,0.064847,-322.150234,25.542,-1108.880566535
1201,C(#CC(=O)N)C#N,11.37182,1.11152,1.01255,4.9028,58.96,-0.2881,-0.0871,1014.6504,0.054698,-338.246643,23.314,-1020.773910372
1202,CC(=O)C#CC=O,8.52608,1.08388,1.00273,2.9665,59.6,-0.2792,-0.0833,1080.1312,0.075004,-343.243883,24.682,-1179.574475457
1203,C(=O)C#CC(=O)N,9.39209,1.08877,1.00782,3.6824,55.99,-0.2777,-0.0821,1048.1109,0.064778,-359.314227,24.38,-1075.111797209
1204,CC(=N)OCC#C,7.81929,1.34207,1.16189,1.3863,61.55,-0.2642,0.028,979.6637,0.111062,-324.548763,27.537,-1358.275860968
1205,CC(=N)OCC#N,7.79286,1.33457,1.15589,1.9312,56.66,-0.2876,-0.0022,957.2002,0.100521,-340.648166,25.531,-1272.047966751
1206,CC(=O)CCC#C,8.14069,1.1784,1.04914,2.4369,63.54,-0.2473,-0.0161,1073.3104,0.121438,-308.51129,28.854,-1483.365387555
1207,CC(=O)CCC#N,8.24003,1.18295,1.05444,3.8066,58.65,-0.2662,-0.0306,1043.3686,0.111245,-324.619773,26.728,-1402.8352750581
1208,CC(=O)NCC#C,6.76311,1.32975,1.21223,3.261,60.97,-0.2478,0.0243,969.3488,0.111145,-324.575799,28.05,-1375.241194292
1209,CC(=O)NCC#N,6.54396,1.36072,1.26328,3.9932,55.9,-0.2684,0.0049,925.5742,0.100838,-340.682075,25.984,-1293.326169432
1210,CC(=O)OCC#C,8.12805,1.33752,1.16507,1.5599,57.1,-0.2708,0.01,962.1235,0.098562,-344.452972,26.681,-1310.437084844
1211,CC(=O)OCC#N,8.18194,1.34626,1.17285,2.8236,52.25,-0.2944,-0.0087,933.1813,0.088176,-360.557419,24.653,-1227.374346023
1212,C#CCCC(=O)N,8.63684,1.19501,1.06428,3.5015,59.71,-0.2492,0.0266,1032.2971,0.11116,-324.582445,28.596,-1379.411619106
1213,C(CC(=O)N)C#N,8.73264,1.2013,1.06984,4.8662,54.79,-0.2672,0.0122,1001.9371,0.10097,-340.691219,26.468,-1299.064111728
1214,C#CCNC(=O)N,6.40513,1.40078,1.31774,3.4698,56.57,-0.2542,0.0348,901.0117,0.101219,-340.637067,27.326,-1265.08324436
1215,C(C#N)NC(=O)N,7.59637,1.3251,1.21334,4.1819,52.05,-0.2712,0.0164,916.4423,0.090585,-356.743821,25.53,-1183.468168802
1216,C#CCOC(=O)N,8.77188,1.34906,1.17834,2.2526,53.03,-0.2699,0.0258,927.336,0.08835,-360.517106,26.319,-1202.077575706
1217,C(C#N)OC(=O)N,6.60328,1.4864,1.41258,4.0484,47.92,-0.2932,0.0042,825.4474,0.078117,-376.622353,24.187,-1119.516844085
1218,CC(=N)OCC=O,8.27247,1.23425,1.08846,3.7148,55.9,-0.26,-0.0304,1021.4169,0.110553,-361.728546,26.574,-1334.415458752
1219,CC(=O)CCC=O,8.07012,1.10244,1.00954,3.4013,59.61,-0.2524,-0.0239,1105.0328,0.121452,-345.688382,27.576,-1457.81635862
1220,CC(=O)CNC=O,7.3163,1.32736,1.13923,2.8014,55.73,-0.2515,-0.0323,979.7722,0.111338,-361.762744,26.522,-1355.875011534
1221,CC(=O)COC=N,7.28478,1.46278,1.28107,4.8085,56.94,-0.2503,-0.0292,914.0963,0.110889,-361.723581,26.582,-1331.2998765671
1222,CC(=O)COC=O,7.36362,1.47822,1.29161,5.8203,52.25,-0.2678,-0.0366,886.6728,0.098738,-381.62704,25.539,-1282.9904686931
1223,CC(=O)NCC=O,7.79194,1.20904,1.12286,3.6554,56.48,-0.2523,-0.0325,1013.9196,0.110928,-361.755719,26.965,-1351.466760809
1224,CC(=O)OCC=O,7.79293,1.27363,1.17628,2.8437,52.07,-0.2651,-0.0361,965.2519,0.098284,-381.63248,25.619,-1286.404117653
1225,C(CC(=O)N)C=O,8.43457,1.11787,1.02811,4.4272,55.88,-0.2512,-0.0207,1060.7893,0.111326,-361.759779,27.211,-1354.014447349
1226,C(C(=O)N)NC=O,7.72005,1.35061,1.15771,3.8149,51.93,-0.2479,0.0113,938.4028,0.101186,-377.834156,26.196,-1252.082512898
1227,NC(=O)COC=N,7.3709,1.50977,1.30333,5.4071,53.37,-0.2487,0.0065,870.8659,0.100973,-377.794221,26.112,-1227.022940983
1228,C(C(=O)N)OC=O,7.47355,1.52448,1.31547,6.769,48.68,-0.2663,-0.0015,843.4793,0.088725,-397.697891,25.122,-1178.8459375081
1229,C(C=O)NC(=O)N,8.48513,1.20323,1.10987,4.2342,52.44,-0.2504,-0.0282,990.0316,0.100843,-377.817369,26.379,-1241.548519315
1230,C(C=O)OC(=O)N,8.10414,1.29811,1.20018,3.9862,48.14,-0.2604,-0.0321,923.5523,0.088066,-397.697425,25.275,-1178.553518314
1231,[O-]C(=O)CNC=[NH2+],8.30412,1.26515,1.13494,6.8847,55.03,-0.2424,0.0031,970.5388,0.101616,-377.813815,25.706,-1239.318352329
1232,CC(C)C#CC#C,7.7386,1.09758,0.99907,1.2253,78.98,-0.24,-0.0083,1154.0398,0.122618,-271.339821,29.594,-1512.442899597
1233,CC(C)C#CC#N,7.71597,1.10036,1.00102,5.3498,71.68,-0.2826,-0.0356,1125.1643,0.112534,-287.440932,27.251,-1427.286790752
1234,CC(O)C#CC#C,8.33321,1.09348,1.00226,1.3096,71.29,-0.2485,-0.0237,1109.9975,0.098957,-307.260972,28.381,-1326.631209607
1235,CC(O)C#CC#N,8.33036,1.09416,1.00262,4.2762,64.11,-0.2903,-0.0509,1082.9616,0.088846,-323.360471,26.035,-1240.4635562541
1236,CC(C)C#CC=O,6.82142,1.0937,0.97883,3.8667,69.0,-0.2626,-0.0578,1162.9692,0.122415,-308.505951,28.339,-1480.015117004
1237,CC(O)C#CC=O,6.97497,1.09311,1.00852,3.0147,61.63,-0.2706,-0.0659,1107.6284,0.098897,-344.426799,27.125,-1294.0132917871
1238,CC(C)CCC#C,6.41788,1.13024,1.01712,0.864,73.77,-0.257,0.0584,1173.9801,0.169238,-273.762889,32.317,-1777.236637381
1239,CC(C)CCC#N,6.4626,1.13351,1.02,4.2459,68.71,-0.3136,0.0381,1144.5955,0.15912,-289.87199,30.158,-1697.094325446
1240,CC(C)NCC#N,6.56457,1.20513,1.07687,4.2551,65.88,-0.2467,0.0239,1084.6075,0.147574,-305.906809,29.501,-1570.339389973
1241,CC(C)OCC#C,6.57424,1.25235,1.11495,1.3646,67.44,-0.252,0.0361,1071.282,0.144776,-309.677968,30.851,-1587.614712743
1242,CC(C)OCC#N,6.60603,1.25987,1.1183,4.7243,62.39,-0.2789,0.0134,1042.7896,0.134527,-325.784384,28.771,-1505.787539143
1243,CC(O)CCC#C,6.94554,1.14114,1.03888,1.487,66.62,-0.2539,0.0595,1119.7842,0.145642,-309.690179,31.127,-1595.277225142
1244,CC(O)CCC#N,7.00683,1.14697,1.04479,4.0705,61.71,-0.284,0.0397,1088.6368,0.135535,-325.799404,28.936,-1515.212724323
1245,CN(C)CCC#N,7.08814,1.17517,1.06631,4.1615,66.01,-0.2293,0.0361,1089.5602,0.147662,-305.900638,28.992,-1566.467031934
1246,CC(C)CCC=O,6.35602,1.06785,0.97244,2.8513,69.1,-0.2475,-0.0181,1207.8775,0.169116,-310.940611,31.088,-1752.082939116
1247,CC(C)CNC=O,5.07605,1.40889,1.31261,3.6758,65.32,-0.2497,0.0333,981.46,0.159125,-327.014214,30.198,-1649.665312699
1248,CC(C)COC=O,6.6296,1.2486,1.12472,4.0394,62.11,-0.2771,0.0095,1052.1515,0.146269,-346.886411,29.086,-1581.7387184671
1249,CC(C)OCC=O,6.84496,1.16046,1.03874,3.0075,62.0,-0.2546,-0.0261,1116.4435,0.144496,-346.859384,29.819,-1564.779032724
1250,CC(O)CCC=O,7.00894,1.07185,0.98682,3.3221,62.23,-0.2472,-0.0172,1156.0424,0.145583,-346.867789,29.855,-1570.0532458691
1251,CC(O)CNC=O,6.1091,1.31142,1.13225,3.6492,58.93,-0.2474,0.0347,1017.2473,0.135777,-362.94204,28.745,-1468.0422452841
1252,CC(O)COC=N,6.05897,1.28038,1.17601,2.254,59.53,-0.2565,0.0222,1011.4441,0.134919,-362.906662,28.918,-1445.842231882
1253,CC(O)COC=O,6.60578,1.40165,1.2301,5.3405,55.11,-0.2709,0.0142,945.3283,0.122847,-382.810709,27.823,-1397.9017993
1254,CC(=O)NC=NC,8.68692,1.1934,1.06309,2.0056,64.97,-0.247,-0.0115,1089.4461,0.123635,-341.878745,27.814,-1416.395744548
1255,CN=CNC(=O)N,9.18145,1.20891,1.07625,2.7619,61.0,-0.2419,0.008,1050.0042,0.113425,-357.941534,27.42,-1307.192235805
1256,CC(=O)OC=NC,8.80026,1.2574,1.11536,0.455,59.47,-0.2618,-0.0183,1036.5637,0.110723,-361.750275,26.801,-1348.050601813
1257,CN=COC(=O)N,9.24692,1.27872,1.13133,1.7184,55.46,-0.2585,0.0074,996.0035,0.100338,-377.816587,26.581,-1241.0578072771
1258,NC=[NH+]CC([O-])=O,8.20044,1.2732,1.14203,7.2557,54.97,-0.2409,0.0036,966.6252,0.101581,-377.813742,25.786,-1239.272544172
1259,CC(C)OC=NC,6.86865,1.18236,1.075,2.9358,69.51,-0.2434,0.0303,1145.7729,0.157325,-326.983087,30.805,-1630.132840056
1260,CC(=O)C#CCO,7.79011,1.06645,0.9491,4.7432,61.49,-0.2573,-0.0481,1157.3028,0.098529,-344.431301,27.325,-1296.8383373051
1261,CCC#CC(=O)C,7.25727,1.08525,0.96087,3.5208,68.51,-0.2523,-0.0439,1200.2744,0.12236,-308.518276,28.531,-1487.7491654291
1262,CCC#CC(=O)N,7.67229,1.09743,0.97167,3.9461,64.39,-0.2494,-0.015,1161.1068,0.111834,-324.588418,28.356,-1383.159730363
1263,C(C#CC(=O)N)O,8.30661,1.07623,0.95855,5.3033,57.35,-0.2558,-0.0193,1120.1118,0.088062,-360.501085,27.15,-1192.024254017
1264,[NH3+]CC#CC([O-])=O,8.07402,1.09087,0.97319,5.3628,56.69,-0.263,-0.0392,1111.0895,0.089488,-360.501473,25.671,-1192.267727509
1265,CC(C)C#CCO,6.34523,1.04933,0.94243,1.2842,70.02,-0.2409,0.0361,1243.8513,0.145957,-309.688611,31.032,-1594.29329103
1266,CC(O)C#CCO,6.77332,1.0256,0.94819,1.5467,62.29,-0.2595,0.0272,1202.0457,0.122717,-345.613895,29.684,-1411.0750957371
1267,CCC#CC(C)C,6.00945,1.06449,0.95212,0.088,77.09,-0.2393,0.0609,1289.1717,0.169677,-273.773955,32.262,-1784.180651975
1268,CCC#CC(C)O,6.50128,1.03506,0.95869,1.8282,69.76,-0.2487,0.0417,1252.8656,0.14603,-309.69664,31.088,-1599.331560791
1269,CC(C)N=COC,6.76899,1.13746,1.04786,2.7971,69.8,-0.2473,0.0246,1172.7453,0.15739,-326.978724,30.839,-1627.395018289
1270,CC(=N)OCCO,5.66482,1.4013,1.20323,1.2514,58.74,-0.2714,0.0271,986.6162,0.135552,-362.917261,28.474,-1452.493199773
1271,CC(=O)CCCO,7.85219,1.03564,0.93603,3.8961,61.44,-0.2439,-0.0087,1207.6711,0.145338,-346.873992,30.163,-1573.945684196
1272,CC(=O)NCCO,5.72993,1.35817,1.16425,3.6552,58.98,-0.2385,0.0398,1008.3742,0.13552,-362.945811,29.109,-1470.408581723
1273,CC(=O)OCCO,5.88314,1.40183,1.20609,1.8227,54.39,-0.273,0.0099,969.3956,0.123101,-382.824468,27.705,-1406.5356956311
1274,CCCCC(=O)C,7.52764,1.03267,0.93409,2.5767,68.54,-0.2413,-0.0069,1271.3575,0.168818,-310.954514,31.44,-1760.8071967431
1275,CCCCC(=O)N,7.61584,1.04954,0.95462,3.43,64.98,-0.2427,0.0361,1222.1374,0.158721,-327.025329,31.054,-1656.6400752341
1276,CCCNC(=O)C,6.85074,1.16697,1.08656,3.4726,65.86,-0.2396,0.0386,1137.2336,0.158619,-327.023352,30.683,-1655.399489941
1277,CCCNC(=O)N,7.59727,1.13243,1.03762,3.6036,62.09,-0.2422,0.0606,1138.7938,0.148453,-343.084333,30.128,-1545.061444926
1278,CCCOC(=O)C,7.77081,1.15858,1.03409,2.0071,61.83,-0.265,0.02,1145.5681,0.146096,-346.903261,29.339,-1592.312245117
1279,CCCOC(=O)N,8.17317,1.17164,1.04506,2.462,57.94,-0.264,0.0595,1106.8366,0.135959,-362.967171,28.9,-1483.8121739631
1280,CC[NH2+]CC([O-])=O,6.15033,1.33409,1.23569,5.3151,57.48,-0.248,0.0213,983.9296,0.136774,-362.945907,27.354,-1470.468822587
1281,CCOCC(=O)C,7.6951,1.16141,1.0356,3.4626,62.56,-0.2438,-0.0092,1145.1515,0.144657,-346.865957,29.766,-1568.903649381
1282,CCOCC(=O)N,7.81861,1.18276,1.05662,4.1238,58.9,-0.2453,0.0284,1099.2691,0.134589,-362.935404,29.358,-1463.8780955601
1283,C[NH2+]CCC([O-])=O,6.16631,1.45706,1.25058,6.1962,57.97,-0.2479,0.0284,945.5531,0.137311,-362.946707,26.832,-1470.9708297871
1284,CC(=O)CCOC,8.05978,1.09653,0.98888,1.5782,61.93,-0.2465,-0.0117,1175.3083,0.145053,-346.867207,29.661,-1569.6880356311
1285,COCCC(=O)N,8.35565,1.1159,1.00354,2.5104,58.21,-0.2476,0.0319,1129.7357,0.134737,-362.938449,29.405,-1465.7888604651
1286,C(CC(=O)N)CO,7.94292,1.05193,0.95777,4.6,57.85,-0.2448,0.0347,1158.8734,0.135165,-362.944759,29.83,-1469.748442255
1287,C(CO)NC(=O)N,6.33957,1.33199,1.1392,4.0322,54.97,-0.2398,0.0615,993.3409,0.125275,-379.006904,28.576,-1360.140817716
1288,C(COC(=O)N)O,6.16306,1.41514,1.23322,2.9228,50.55,-0.271,0.0498,931.339,0.11291,-398.888473,27.28,-1298.095237832
1289,[NH3+]CCCC([O-])=O,4.78268,1.74591,1.36145,6.8096,57.27,-0.2369,0.0368,872.2097,0.137916,-362.952198,26.844,-1474.4164817061
1290,CC(C)CCCO,6.28879,0.99301,0.90285,1.299,71.46,-0.2615,0.0807,1317.5841,0.193012,-312.126356,33.643,-1868.296978407
1291,CC(C)OCCO,5.06464,1.37057,1.14452,2.3094,64.84,-0.2571,0.0766,1066.9097,0.169552,-348.051405,31.621,-1684.931318499
1292,CC(O)CCCO,6.89189,1.00495,0.92217,1.7364,64.63,-0.2581,0.0724,1259.7952,0.169494,-348.052763,32.445,-1685.7834757211
1293,CCCCC(C)C,6.08497,0.99017,0.90107,0.0577,78.7,-0.2997,0.0862,1383.4554,0.216412,-276.206257,34.915,-2054.768807865
1294,CCCCC(C)O,6.54138,1.00069,0.91782,1.4237,71.61,-0.261,0.0739,1326.5598,0.192944,-312.133063,33.692,-1872.50568127
1295,CCCOC(C)C,6.28174,1.09275,0.98845,0.9066,72.3,-0.2456,0.088,1264.1147,0.192289,-312.128001,33.453,-1869.329230712
1296,CCOCC(C)C,6.23606,1.12984,1.01529,0.8536,72.37,-0.2489,0.088,1232.7486,0.192456,-312.126544,33.273,-1868.414950099
1297,CCOCC(C)O,5.02395,1.27143,1.24031,2.2405,64.82,-0.2572,0.0792,1070.8534,0.169559,-348.053064,31.636,-1685.9723559301
1298,CC(C)CCOC,6.41007,1.04951,0.95047,1.0262,72.19,-0.2495,0.0835,1286.4754,0.19265,-312.119017,33.135,-1863.691689856
1299,COCCC(C)O,6.92163,1.06106,0.96842,0.4474,65.05,-0.2482,0.0717,1230.4102,0.169192,-348.045948,31.914,-1681.5070018861
1300,CC1(CCC1=O)C,3.24496,2.59114,2.1458,2.6086,64.27,-0.2338,-0.0164,729.1336,0.146469,-309.738513,28.48,-1625.607245148
1301,CC1(CNC1=O)C,3.41126,2.58978,2.19606,3.4842,61.14,-0.2417,0.0406,703.5296,0.136142,-325.809179,27.589,-1521.346624798
1302,CC1(C)COC1=N,3.46915,2.57533,2.20806,2.4567,61.5,-0.2609,0.0323,703.5227,0.136267,-325.785262,27.018,-1506.338492045
1303,CC1(COC1=O)C,3.50696,2.57633,2.22623,3.9969,56.57,-0.2679,0.0137,686.7649,0.124338,-345.689766,25.972,-1458.6848310761
1304,CC1(C(=O)CN1)C,3.34258,2.61605,2.18632,2.4752,60.92,-0.2387,-0.0216,706.0824,0.135221,-325.778234,27.754,-1501.928358793
1305,CC1(C(=O)CO1)C,3.41936,2.61726,2.22186,1.0703,57.48,-0.2523,-0.0288,688.4755,0.122413,-345.661057,26.937,-1440.6696751951
1306,CC1(N)COC1=O,3.56803,2.63832,2.25229,4.1989,53.12,-0.2585,0.0086,662.6069,0.113257,-361.731914,25.64,-1336.528909064
1307,CC1(O)CCC1=O,3.39434,2.71916,2.16812,2.0822,57.22,-0.2472,-0.0286,682.4644,0.122791,-345.663386,27.353,-1442.131143656
1308,CC1(O)CNC1=O,3.5428,2.65711,2.21803,2.5062,54.09,-0.2424,0.026,663.4271,0.112415,-361.733362,26.451,-1337.437542096
1309,CC1(O)COC1=N,3.59559,2.64855,2.23228,1.4261,54.49,-0.2678,0.0185,663.043,0.112382,-361.709679,25.984,-1322.576246449
1310,CC1(O)COC1=O,3.65301,2.62796,2.2389,3.314,49.68,-0.2625,0.0008,648.3864,0.100436,-381.612501,24.923,-1273.8671153421
1311,CC1(C)CCC1O,3.16662,2.52504,2.07045,1.2635,67.09,-0.2523,0.0773,763.2153,0.170361,-310.915408,30.74,-1736.2678297891
1312,CC1(C)OCC1O,3.37636,2.56399,2.12543,2.2041,60.07,-0.2415,0.065,721.569,0.146152,-346.840635,29.266,-1553.0138664831
1313,CC1(O)CCC1O,3.23345,2.60446,2.10715,1.0048,60.09,-0.2515,0.0751,720.2405,0.146617,-346.844016,29.716,-1555.1354744121
1314,CC1CCC1(C)C,3.09416,2.42914,2.00669,0.0751,74.1,-0.2775,0.0802,813.6898,0.194083,-274.989422,31.786,-1919.045513764
1315,CC1CCC1(C)O,3.15426,2.51068,2.04398,1.2493,67.11,-0.2513,0.076,769.6888,0.170399,-310.918831,30.701,-1738.4157930961
1316,CC1COC1(C)C,3.31117,2.4551,2.0606,1.7334,66.82,-0.2382,0.0794,771.9296,0.169999,-310.916474,30.284,-1736.936754383
1317,CC1OCC1(C)C,3.31609,2.42682,2.04733,1.7442,67.01,-0.24,0.0777,773.9021,0.170167,-310.913156,30.107,-1734.854679521
1318,CC1OCC1(C)O,3.38529,2.49965,2.08605,2.3266,60.13,-0.2427,0.0662,730.4646,0.146404,-346.840522,29.06,-1552.9429579661
1319,CC1(C)CC1C#C,4.81793,1.84886,1.65677,0.9315,71.46,-0.2376,0.0512,825.8861,0.146088,-272.548325,30.183,-1642.938416219
1320,CC1(C)CC1C#N,4.82908,1.87884,1.68118,4.3317,65.9,-0.2812,0.0318,798.1374,0.135985,-288.657055,27.959,-1562.563298445
1321,CC1(C)NC1C#C,5.05633,1.84877,1.64868,1.8398,67.94,-0.2408,0.0386,811.4787,0.134725,-288.58902,29.281,-1519.87072363
1322,CC1(C)NC1C#N,5.07043,1.87702,1.67008,4.9807,62.44,-0.2708,0.0174,784.5465,0.124443,-304.696023,27.186,-1438.411897813
1323,CC1(C)OC1C#C,5.30937,1.86225,1.64939,1.8213,64.03,-0.2568,0.0225,795.2723,0.121773,-308.473428,28.649,-1459.606641797
1324,CC1(C)OC1C#N,5.31189,1.89492,1.67309,4.0657,58.67,-0.2939,-0.0007,767.8302,0.111446,-324.578381,26.587,-1376.86142253
1325,CC1(O)CC1C#C,4.95609,1.88237,1.67932,1.8006,64.02,-0.2424,0.0474,781.1792,0.122283,-308.472221,29.073,-1458.849238434
1326,CC1(O)CC1C#N,4.96076,1.91479,1.70558,4.5946,58.65,-0.2794,0.0275,753.5324,0.112066,-324.580268,26.907,-1378.045532013
1327,CC1(C)CC1C=O,4.56847,1.69259,1.58646,3.3742,66.52,-0.243,-0.0155,857.5795,0.146416,-309.727166,28.845,-1618.486900525
1328,CC1(CN1C=O)C,5.13228,1.84121,1.68199,3.7136,62.74,-0.2489,0.0044,798.8288,0.135047,-325.781571,27.758,-1504.022356326
1329,CC1(C)NC1C=O,4.71336,1.71849,1.60428,3.3484,62.67,-0.2452,-0.0254,835.2934,0.134951,-325.768959,28.058,-1496.108212818
1330,CC1(C)OC1C=O,5.05514,2.00627,1.73641,3.3635,58.98,-0.2568,-0.0411,759.8078,0.121962,-345.650323,27.299,-1433.9339935891
1331,CC1(O)CC1C=O,4.74434,1.71729,1.60716,4.244,59.3,-0.2462,-0.0197,812.5437,0.122453,-345.650338,27.803,-1433.943406224
1332,CC1(C)CC1CO,4.83479,1.56896,1.4317,1.3945,68.29,-0.2565,0.0789,934.2472,0.169894,-310.906568,31.481,-1730.720650229
1333,CC1(C)NC1CO,5.0985,1.62125,1.47044,2.4163,64.35,-0.2428,0.0719,897.7886,0.159218,-326.954795,30.22,-1612.379355428
1334,CC1(C)OC1CO,5.28106,1.6309,1.47048,2.1917,60.72,-0.2586,0.0813,883.8784,0.146082,-346.839235,29.775,-1552.135353883
1335,CC1(O)CC1CO,5.01227,1.58609,1.45072,1.9707,61.14,-0.249,0.0726,887.373,0.146199,-346.831139,30.342,-1547.0550410191
1336,CCC1CC1(C)C,4.70841,1.54995,1.41719,0.1119,75.32,-0.2555,0.0888,989.7399,0.193333,-274.987297,32.759,-1917.712057139
1337,CCC1CC1(C)O,4.87395,1.56612,1.4352,1.2841,68.11,-0.2454,0.079,942.9933,0.169716,-310.912131,31.592,-1734.211482796
1338,CCC1OC1(C)C,5.14634,1.60687,1.44815,1.7349,68.2,-0.254,0.0918,941.7371,0.169115,-310.918822,31.338,-1738.410145515
1339,CCN1CC1(C)C,4.77351,1.65895,1.51298,1.0894,72.35,-0.219,0.0873,934.0888,0.181313,-291.024232,31.966,-1792.28493071
1340,COC1CC1(C)C,4.9025,1.71312,1.55301,0.965,68.75,-0.2406,0.0932,897.6244,0.169391,-310.901659,31.118,-1727.640208548
1341,COC1CC1(C)O,4.12925,1.91362,1.77573,0.8854,61.08,-0.2352,0.08,806.1761,0.145684,-346.825562,29.989,-1543.555423326
1342,CC1(CC=CC1)C,4.06782,2.27195,2.16866,0.1035,71.52,-0.2344,0.0313,746.4522,0.171964,-273.806349,28.498,-1804.508178521
1343,CC1(CN=CO1)C,4.3186,2.40191,2.35399,1.9532,60.01,-0.2445,0.0284,675.5047,0.136875,-325.805017,25.922,-1518.7349323401
